date,category,value,position
06/10/2023,Taliban,3,-5
07/10/2023,Taliban,3,-5
08/10/2023,Taliban,1,-5
09/10/2023,Taliban,1,-5
10/10/2023,Taliban,0,-5
11/10/2023,Taliban,2,-5
12/10/2023,Taliban,3,-5
13/10/2023,Taliban,0,-5
14/10/2023,Taliban,0,-5
15/10/2023,Taliban,1,-5
16/10/2023,Taliban,0,-5
17/10/2023,Taliban,0,-5
18/10/2023,Taliban,0,-5
19/10/2023,Taliban,0,-5
20/10/2023,Taliban,0,-5
21/10/2023,Taliban,0,-5
22/10/2023,Taliban,0,-5
23/10/2023,Taliban,0,-5
24/10/2023,Taliban,0,-5
25/10/2023,Taliban,0,-5
26/10/2023,Taliban,0,-5
27/10/2023,Taliban,0,-5
28/10/2023,Taliban,0,-5
29/10/2023,Taliban,0,-5
30/10/2023,Taliban,0,-5
31/10/2023,Taliban,7,-5
01/11/2023,Taliban,8,-5
02/11/2023,Taliban,5,-5
03/11/2023,Taliban,9,-5
04/11/2023,Taliban,7,-5
05/11/2023,Taliban,3,-5
06/11/2023,Taliban,3,-5
07/11/2023,Taliban,7,-5
08/11/2023,Taliban,3,-5
09/11/2023,Taliban,0,-5
10/11/2023,Taliban,2,-5
11/11/2023,Taliban,0,-5
12/11/2023,Taliban,1,-5
13/11/2023,Taliban,0,-5
14/11/2023,Taliban,0,-5
15/11/2023,Taliban,1,-5
16/11/2023,Taliban,1,-5
17/11/2023,Taliban,0,-5
18/11/2023,Taliban,0,-5
19/11/2023,Taliban,0,-5
20/11/2023,Taliban,0,-5
21/11/2023,Taliban,0,-5
22/11/2023,Taliban,0,-5
23/11/2023,Taliban,0,-5
24/11/2023,Taliban,2,-5
25/11/2023,Taliban,0,-5
26/11/2023,Taliban,0,-5
27/11/2023,Taliban,0,-5
28/11/2023,Taliban,0,-5
29/11/2023,Taliban,0,-5
30/11/2023,Taliban,0,-5
01/12/2023,Taliban,0,-5
02/12/2023,Taliban,0,-5
03/12/2023,Taliban,0,-5
04/12/2023,Taliban,2,-5
05/12/2023,Taliban,0,-5
06/12/2023,Taliban,0,-5
07/12/2023,Taliban,0,-5
08/12/2023,Taliban,0,-5
09/12/2023,Taliban,0,-5
10/12/2023,Taliban,0,-5
11/12/2023,Taliban,0,-5
12/12/2023,Taliban,0,-5
13/12/2023,Taliban,0,-5
14/12/2023,Taliban,0,-5
15/12/2023,Taliban,1,-5
16/12/2023,Taliban,0,-5
17/12/2023,Taliban,0,-5
18/12/2023,Taliban,0,-5
19/12/2023,Taliban,0,-5
20/12/2023,Taliban,0,-5
21/12/2023,Taliban,0,-5
22/12/2023,Taliban,1,-5
23/12/2023,Taliban,0,-5
24/12/2023,Taliban,0,-5
25/12/2023,Taliban,0,-5
26/12/2023,Taliban,0,-5
27/12/2023,Taliban,0,-5
